datetime,open,high,low,close,average,sma10,sma20,sma50,ema10,ema20,ema50
2002-06-11 00:00:00,0.9434,0.9821,0.9434,0.9706,0.96275,0.92154,0.89829,0.89526,0.92529,0.90135,0.89658
2002-06-18 00:00:00,0.9707,0.9992,0.9661,0.992,0.98265,0.93124,0.90402,0.89778,0.93592,0.90777,0.89945
2002-06-25 00:00:00,0.9915,0.9922,0.9716,0.9913,0.9819,0.93992,0.90941,0.90014,0.94374,0.91287,0.90174
2002-07-02 00:00:00,0.9913,1.0095,0.9831,1.003,0.9963,0.94867,0.91562,0.90256,0.953,0.91946,0.9044
2002-07-09 00:00:00,1.003,1.0212,1.0027,1.0083,1.01195,0.95876,0.92278,0.9052,0.96359,0.92702,0.9073
2002-07-16 00:00:00,1.008,1.0086,0.9768,0.9813,0.9927,0.96688,0.92873,0.90731,0.96923,0.93178,0.90899
2002-07-23 00:00:00,0.9814,0.9923,0.9726,0.9803,0.98245,0.97292,0.93392,0.90882,0.97379,0.93623,0.91027
2002-07-30 00:00:00,0.981,0.9811,0.9623,0.9793,0.9717,0.977,0.93849,0.90994,0.97652,0.94007,0.91115
2002-08-06 00:00:00,0.9787,0.9895,0.9748,0.9767,0.98215,0.98107,0.94379,0.91136,0.98117,0.94562,0.91274
2002-08-13 00:00:00,0.9773,0.9851,0.9666,0.972,0.97585,0.98404,0.9486,0.91297,0.9833,0.94989,0.91421
2002-08-20 00:00:00,0.971,0.9889,0.97,0.9845,0.97945,0.98571,0.95362,0.91428,0.98514,0.95485,0.91556
2002-08-27 00:00:00,0.9835,0.9996,0.9783,0.9797,0.98895,0.98634,0.95879,0.91564,0.98658,0.96023,0.91708
2002-09-03 00:00:00,0.9793,0.9844,0.9659,0.9688,0.97515,0.98566,0.96279,0.91684,0.98471,0.96338,0.91798
2002-09-10 00:00:00,0.969,0.9878,0.9603,0.9782,0.97405,0.98344,0.96606,0.91796,0.98258,0.96644,0.91906
2002-09-17 00:00:00,0.978,0.9901,0.9729,0.9868,0.9815,0.9804,0.96957,0.91938,0.98049,0.97015,0.9206
2002-09-24 00:00:00,0.987,0.9911,0.9778,0.9831,0.98445,0.97957,0.97323,0.92106,0.98002,0.97376,0.9223
2002-10-01 00:00:00,0.9823,0.9929,0.9763,0.9873,0.9846,0.97979,0.97635,0.9229,0.98022,0.97675,0.92411
2002-10-08 00:00:00,0.9873,0.9887,0.9688,0.9734,0.97875,0.98049,0.97874,0.92443,0.98033,0.97874,0.92549
2002-10-15 00:00:00,0.9738,0.9806,0.9719,0.9758,0.97625,0.9799,0.98049,0.92602,0.97957,0.98029,0.92701
2002-10-21 22:00:00,0.9764,1.0006,0.9723,0.9969,0.98645,0.98096,0.9825,0.92796,0.98146,0.98269,0.92911
2002-10-28 06:00:00,0.996,1.0151,0.9925,1.013,1.0038,0.9834,0.98455,0.93045,0.98525,0.98547,0.93189
2002-11-04 06:00:00,1.0124,1.0172,1.0011,1.0095,1.00915,0.98542,0.98588,0.93288,0.98757,0.98698,0.93437
2002-11-11 06:00:00,1.0091,1.0145,0.9961,0.997,1.0053,0.98843,0.98705,0.93517,0.98997,0.98792,0.93655
2002-11-18 06:00:00,0.9968,0.9972,0.9873,0.9946,0.99225,0.99025,0.98684,0.93712,0.99043,0.9871,0.9382
2002-11-25 06:00:00,0.9945,1.0131,0.9857,1.0099,0.9994,0.99204,0.98622,0.93916,0.99271,0.98684,0.94034
2002-12-02 06:00:00,1.0101,1.0261,1.0059,1.0234,1.016,0.9952,0.98738,0.94183,0.99708,0.98875,0.94329
2002-12-09 06:00:00,1.0236,1.0335,1.0191,1.0269,1.0263,0.99936,0.98957,0.94446,1.00181,0.99132,0.94606
